1214-17-08-47-835,memo, 5589.57769203186 
0624-15-24-25-753,memo, 7565.6809549331665 
0628-18-58-12-269,memo, 22330.338866472244 
0729-15-20-21-505,memo, 242.94302320480347 
0729-16-37-48-881,memo, 4891.6404864788055 
0730-09-29-23-239,memo, 7302.266037464142 
0730-17-12-35-257,memo, 4792.442323207855 
0731-10-43-55-317,memo, 4747.678270339966 
0801-15-38-43-517,memo, 7249.152184009552 
1021-10-02-04-042,memo, 6787.815580844879 
1021-16-19-21-518,memo, 10505.184401750565 
1021-16-18-11-398,memo, 10723.738191366196 
