0203-18-25-45-211,memo, 26247.99194431305 
0204-21-03-47-354,memo, 26111.951557159424 
0227-21-50-08-335,memo, 30059.13217163086 
0326-21-31-23-167,memo, 35172.55795431137 
0401-22-07-49-039,memo, 598697.0500633717 
0409-20-11-17-414,memo, 63488.46319961548 
0410-20-41-13-665,memo, 51770.69594168663 
0411-22-48-11-352,memo, 34795.79516029358 
0413-16-02-01-278,memo, 63953.79035401344 
1031-11-40-09-233,memo, 38878.272547483444 
1101-08-48-48-304,memo, 56249.62071490288 
1102-09-16-12-099,memo, 64445.75760817528 
1103-09-00-01-228,memo, 52932.16489982605 
1104-09-44-44-120,memo, 53974.672540187836 
1105-08-56-55-607,memo, 69696.34158182144 
1106-09-24-18-198,memo, 66780.2062907219 
